id,time,wage,male,age,event,compare,cluster_var
01-5160,19,48000,0,26.090349,0,0,01-1204
01-8158,43,47000,1,24.577686,0,0,01-2087
02-4884,6,47000,0,19.868584,0,0,02-1258
01-2009,16,46000,0,35.097878,0,0,01-1880
01-6889,45,48000,0,27.63039,0,0,38-066
06-374,43,49000,0,37.705681,0,0,01-1416
05-016,36,52000,0,51.73032,0,0,32-130
01-646,12,53000,1,41.210129,0,0,03-058
01-1505,22,50000,0,39.232033,0,0,08-069
42-1554,0,46000,1,18.595482,0,0,42-216
01-1529,14,54000,0,37.650925,0,0,04-048
03-090,6,49000,0,41.778233,0,0,01-029
01-4394,16,51000,0,27.623545,0,0,05-045
13-361,28,52000,1,34.249146,0,0,02-2975
02-6362,17,45000,0,18,0,0,02-316
02-3124,17,51000,0,27.876797,0,0,24-092
01-2475,6,48000,1,30.997948,0,0,01-1717
01-8234,12,51000,1,18,0,0,01-1429
11-358,10,46000,0,31.340178,0,0,02-4535
03-308,29,51000,0,39.854893,0,0,01-6787
01-7226,9,47000,0,20.402464,0,0,01-1494
01-400,31,56000,0,50.498287,0,0,01-3181
02-5796,17,46000,0,19.348391,0,0,13-191
02-2686,9,51000,1,27.842573,0,0,02-3531
03-3053,44,49000,0,18.177959,0,0,32-200
02-6579,44,47000,0,23.304586,0,0,02-3854
01-7855,30,50000,0,23.017111,0,0,01-2371
02-7219,29,46000,0,18.417522,0,0,13-361
01-387,4,48000,1,42.271046,0,0,01-918
01-434,46,53000,1,50.60096,0,0,01-305
02-5244,1,46000,0,18.136892,0,0,02-355
42-1286,45,50000,1,32.66119,0,0,42-1263
27-048,7,45000,0,29.950718,0,0,66-001
01-9260,20,54000,1,18.212183,0,0,01-1070
01-3034,29,51000,0,33.975361,0,0,02-700
01-7059,17,46000,0,22.22998,0,0,01-1559
01-7931,40,48000,0,24.906229,0,0,03-1038
02-4919,11,48000,0,20.881588,0,0,02-034
30-079,42,48000,0,38.396988,0,0,10-058
02-3509,10,49000,0,24.557154,0,0,02-2975
01-5802,47,51000,0,30.279261,0,0,03-1038
02-4568,43,51000,1,28.212183,0,0,02-7911
13-003,28,54000,0,47.603012,0,0,02-237
42-1631,5,47000,1,19.437372,0,0,42-1255
02-674,34,48000,0,43.742641,0,0,66-001
03-1691,39,49000,1,,0,0,01-6250
42-1383,30,49000,1,28.657084,0,0,42-1203
01-2340,34,47000,0,37.452431,0,0,01-305
01-7319,20,48000,0,22.332649,0,0,01-305
02-7068,32,51000,0,19.608488,0,0,02-3055
01-8245,11,47000,0,18.294319,0,0,09-010
03-0854,37,47000,1,19.314169,0,0,03-1383
02-2211,8,47000,0,28.821356,0,0,12-015
10-033,14,48000,0,42.168377,0,0,18-039
02-6152,41,48000,0,23.482546,0,0,02-237
03-0803,47,47000,1,21.38809,0,0,01-7904
01-1517,27,49000,0,40.169746,0,0,01-4366
08-184,46,51000,0,43.941135,0,0,01-4970
01-2798,32,48000,0,35.310062,0,0,01-4366
02-6796,30,47000,0,19.854895,0,0,02-3158
00-090,16,47000,0,22.093086,0,0,03-158
02-7251,42,46000,0,21.045858,0,0,02-6084
03-1701,39,52000,0,18.520191,0,0,01-226
01-2298,27,51000,0,20.744696,0,0,10-041
02-8427,40,46000,0,18.417522,0,0,02-4267
01-5013,12,48000,0,25.405888,0,0,01-2795
01-3247,23,52000,0,32.318958,0,0,01-4662
01-4152,1,48000,0,21.244352,0,0,01-087
01-4409,32,49000,1,31.586584,0,0,01-3181
02-5086,19,45000,0,22.264202,0,0,02-6382
02-3553,6,47000,0,23.523613,0,0,02-5374
42-1686,15,49000,1,19.560575,0,0,42-1261
01-2399,6,47000,1,31.305954,0,0,99-086
20-129,7,47000,0,30.080767,0,0,07-043
42-2046,41,49000,1,19.738535,0,0,42-1596
03-0408,30,52000,1,18.225872,0,0,58-005
05-143,43,47000,0,37.164955,0,0,16-033
01-4252,40,51000,1,33.893223,0,0,01-4033
02-8113,35,49000,1,18.150581,0,0,02-1181
01-2009,3,46000,0,32.387405,0,0,01-1880
01-6706,19,47000,1,22.585899,0,0,01-1494
53-012,39,49000,1,38.595482,0,0,22-018
01-8604,22,49000,0,19.991787,0,0,00-346
20-164,12,48000,0,30.005476,0,0,01-112
01-7057,6,46000,0,19.930185,0,0,01-1559
99-320,17,53000,0,33.290897,0,0,01-1598
02-8217,38,46000,0,18.547569,0,0,02-8081
10-033,11,48000,0,41.545517,0,0,18-039
29-029,4,52000,0,35.419575,0,0,01-5002
01-3156,6,50000,0,28.937714,0,0,18-039
02-2084,10,46000,0,29.601643,0,0,02-3271
01-2100,15,50000,0,34.509239,0,0,18-039
01-6856,40,47000,0,26.53525,0,0,22-018
02-4030,3,45000,0,21.22382,0,0,02-5168
01-3873,29,50000,0,32.394253,0,0,01-087
42-1647,19,48000,1,21.689255,0,0,42-704
14-112,3,47000,0,29.46475,0,0,09-052
19-005,19,53000,0,46.548939,0,0,04-004
20-032,7,49000,0,37.582478,0,0,01-4593
01-1962,18,47000,0,35.385353,0,0,01-305
01-7986,21,48000,0,20.76523,0,0,18-039
18-035,42,51000,0,46.644764,0,0,01-1725
02-1269,0,47000,0,32.442162,0,0,02-034
02-2435,2,49000,0,27.130732,0,0,14-018
01-6792,17,49000,1,22.49692,0,0,10-041
02-6019,22,47000,0,19.971252,0,0,06-045
02-1618,26,46000,0,35.166325,0,0,02-2667
40-040,34,51000,0,35.638603,0,0,16-099
01-6770,10,48000,0,21.011637,0,0,01-1880
02-900,22,48000,0,40.272415,0,0,01-305
01-8984,25,46000,1,19.964409,0,0,01-1559
03-0177,31,47000,1,18.90349,0,0,09-026
06-272,23,49000,0,34.933605,0,0,06-288
11-037,1,53000,0,39.930183,0,0,02-034
00-052,18,49000,0,34.981518,0,0,02-3271
01-6850,44,47000,0,27.425051,0,0,01-8234
03-0695,36,47000,1,19.245722,0,0,01-9394
03-3644,45,48000,0,18,0,0,01-7681
02-5068,29,47000,0,24.344969,0,0,02-213
SM-0010,44,48000,1,20.238194,0,0,01-3371
01-423,24,52000,0,25.850786,0,0,01-3168
01-4011,38,49000,1,33.893223,0,0,01-9008
01-3155,18,50000,0,31.442848,0,0,18-039
02-9340,44,53000,0,18.006845,0,0,02-3197
03-1701,41,52000,0,18.937714,0,0,01-226
01-9251,25,48000,0,19.451061,0,0,01-2020
01-3388,35,50000,1,34.447639,0,0,01-8444
01-8307,45,47000,0,24.899384,0,0,01-8773
68-015,26,44000,1,29.01985,0,0,68-077
01-636,5,45000,1,39.916496,0,0,01-1236
02-704,0,54000,1,36.364136,0,0,14-018
01-6595,0,49000,0,19.108829,0,0,04-045
01-7447,14,54000,1,20.785763,0,0,01-017
02-333,16,50000,0,44.365505,0,0,02-3779
01-9675,35,52000,0,20.470911,0,0,01-834
01-5106,38,48000,0,30.238194,0,0,01-1880
01-1299,14,50000,0,38.027378,0,0,01-834
10-052,29,49000,0,44.02327,0,0,11-092
01-5086,31,49000,0,28.835045,0,0,58-005
99-313,18,48000,0,33.544147,0,0,01-1494
01-5666,45,53000,0,29.861738,0,0,01-6371
38-089,15,47000,0,31.538671,0,0,08-047
32-075,24,48000,0,36.774811,0,0,01-1152
01-8066,38,46000,0,24.057495,0,0,01-9394
02-1949,40,49000,0,36.501026,0,0,13-361
01-7499,4,47000,1,18,0,0,32-050
02-2710,4,53000,0,25.932922,0,0,02-3416
01-4485,9,51000,0,26.44627,0,0,01-920
01-630,8,50000,0,40.758385,0,0,18-039
01-2046,29,48000,0,37.664612,0,0,01-1429
02-7912,42,47000,1,19.861738,0,0,00-076
01-9263,34,48000,0,20.778919,0,0,18-039
01-9986,27,51000,0,,0,0,01-6211
02-7937,36,49000,0,18.698153,0,0,02-2863
01-7857,22,48000,0,21.360712,0,0,01-744
01-1003,7,48000,0,38.061604,0,0,01-744
21-031,7,46000,0,35.816563,0,0,02-510
05-109,24,49000,0,40.080769,0,0,01-112
88-093,16,48000,0,24.461329,0,0,01-3371
62-015,24,44000,0,34.050652,0,0,02-3779
02-3725,14,49000,1,24.666666,0,0,24-023
40-008,5,49000,1,35.645447,0,0,04-348
02-6728,26,47000,0,19.211498,0,0,02-247
63-018,2,49000,0,28.581795,0,0,02-4033
02-6942,36,49000,1,20.778919,0,0,02-2863
01-6810,42,51000,0,27.671457,0,0,01-526
01-8194,40,51000,0,23.995893,0,0,32-200
02-7960,35,50000,1,18.410677,0,0,19-005
01-3034,26,51000,0,33.345654,0,0,02-700
04-007,36,52000,0,65.501709,0,0,01-658
02-1289,31,51000,0,38.465435,0,0,02-2975
12-061,28,48000,0,40.91581,0,0,09-010
01-6388,19,47000,0,23.557837,0,0,01-305
02-1793,29,53000,0,34.919918,0,0,02-2907
01-1485,43,49000,0,43.660507,0,0,01-1880
02-551,19,50000,0,41.524982,0,0,02-211
02-1849,41,53000,0,37.117043,0,0,02-5124
01-6093,35,51000,0,27.575634,0,0,02-793
01-5266,28,50000,0,27.726215,0,0,01-3247
01-9865,26,48000,0,18.520191,0,0,18-039
00-194,23,49000,0,35.364819,0,0,02-3269
42-1230,40,47000,1,35.864475,0,0,02-3271
37-039,9,49000,0,31.333334,0,0,16-047
34-009,1,46000,0,36.008213,0,0,02-676
42-585,20,48000,1,30.354551,0,0,01-6159
02-154,22,54000,0,50.395622,0,0,01-1031
60-030,32,47000,0,34.064339,0,0,29-008
02-7955,34,46000,0,18.253252,0,0,04-662
02-5141,6,48000,0,19.430527,0,0,01-029
14-098,26,49000,0,36.795345,0,0,38-066
01-9283,38,48000,0,22.093086,0,0,01-305
03-0444,44,47000,0,21.086927,0,0,01-1559
01-5264,25,48000,0,27.069132,0,0,01-7795
09-129,11,49000,0,36.863792,0,0,09-054
02-7327,30,46000,0,,0,0,02-748
03-0994,33,48000,0,18.184805,0,0,01-2087
01-6775,3,46000,0,19.594799,0,0,18-061
42-1849,36,49000,1,22.257359,0,0,42-1201
01-4899,41,48000,0,32.052017,0,0,01-9417
02-028,32,55000,0,70.498291,0,0,01-3089
01-3498,7,45000,0,28.479124,0,0,16-047
02-6335,36,46000,0,21.880903,0,0,02-6382
01-4569,6,46000,0,25.679672,0,0,99-086
01-282,5,53000,0,44.030117,0,0,01-2391
28-009,28,45000,0,42.277893,0,0,01-9063
01-5781,27,48000,0,26.110884,0,0,01-6385
11-306,2,47000,1,30.258726,0,0,02-4535
38-040,17,52000,0,34.63929,0,0,05-029
03-0184,27,47000,0,18,0,0,09-123
01-6387,25,48000,1,24.817249,0,0,01-305
18-049,34,48000,0,43.975357,0,0,01-112
02-6334,36,47000,0,21.860369,0,0,02-7273
01-9205,19,46000,0,18.287474,0,0,01-6377
01-5482,9,49000,0,23.270363,0,0,01-3758
13-198,31,46000,0,38.273785,0,0,02-3269
42-884,21,43000,0,29.293634,0,0,88-037
01-6847,28,46000,0,24.084873,0,0,30-031
01-2616,25,51000,0,34.255989,0,0,02-700
01-7665,8,48000,0,18.773443,0,0,01-1880
42-1024,4,42000,1,25.070499,0,0,68-077
42-789,37,46000,1,32.934975,0,0,88-037
01-4600,35,53000,1,31.531828,0,0,01-5538
01-323,15,50000,1,48.164268,0,0,01-305
42-1044,6,46000,0,25.385353,0,0,42-1254
01-9200,47,51000,1,23.927446,0,0,01-5222
02-185,14,57000,1,47.664616,0,0,01-2158
01-5792,24,46000,0,25.494865,0,0,01-6385
02-9260,47,46000,0,18.944559,0,0,19-006
02-1653,9,46000,0,31.524982,0,0,02-3196
02-5951,29,46000,0,21.566051,0,0,02-370
02-6905,46,56000,0,22.715948,0,0,02-7036
02-4289,28,51000,0,26.720055,0,0,02-1258
01-8889,15,47000,1,18.219028,0,0,01-7079
01-2833,6,50000,0,29.800137,0,0,18-039
23-030,6,49000,0,36.172485,0,0,02-2975
02-4158,9,47000,1,22.928131,0,0,66-001
02-3271,4,51000,0,24.721424,0,0,02-726
01-6045,9,49000,0,21.901438,0,0,01-1613
02-3825,30,49000,1,20.0397,0,0,02-3158
42-1490,16,49000,1,24.632444,0,0,42-1221
01-8914,38,51000,0,22.763861,0,0,01-3181
01-2537,34,53000,1,36.692677,0,0,01-387
01-8070,11,48000,0,18.485968,0,0,17-024
42-941,42,50000,1,32.989731,0,0,42-1029
08-036,7,45000,0,44.865162,0,0,42-1413
59-012,12,46000,0,31.675564,0,0,02-2907
01-9600,31,48000,0,19.92334,0,0,01-273
50-008,23,52000,0,36.706367,0,0,50-025
02-5804,42,47000,0,,0,0,02-2863
02-5942,27,47000,1,21.196442,0,0,13-191
01-2380,3,47000,0,30.580425,0,0,01-029
02-3196,41,52000,0,32.688568,0,0,02-3854
01-6052,8,47000,0,21.696098,0,0,20-022
01-9311,33,47000,1,21.011637,0,0,58-005
01-8736,16,51000,1,18.513348,0,0,05-029
01-517,32,54000,1,46.665298,0,0,01-2020
21-096,33,46000,0,35.08419,0,0,00-042
40-050,29,49000,0,34.529774,0,0,16-099
01-5883,6,53000,1,21.942505,0,0,01-1757
13-367,23,49000,0,33.420944,0,0,23-060
03-2277,43,53000,1,18.622862,0,0,08-174
02-4319,26,49000,0,,0,0,06-325
01-8140,14,47000,1,18.581793,0,0,01-8235
32-038,21,49000,0,39.197811,0,0,01-1613
01-9525,43,53000,0,22.579056,0,0,03-1038
23-079,10,46000,0,31.791924,0,0,02-5148
02-2351,12,48000,0,29.286791,0,0,02-726
40-013,33,49000,0,41.566051,0,0,16-099
01-727,47,53000,0,47.904175,0,0,01-305
01-1965,39,53000,1,39.937031,0,0,03-0055
99-142,9,46000,0,32.722794,0,0,01-732
01-8718,43,51000,1,24.064339,0,0,03-0349
02-057,46,53000,0,60.85421,0,0,02-185
24-075,45,52000,0,42.620125,0,0,01-226
03-1591,40,48000,1,18.965092,0,0,01-5146
02-4416,20,51000,1,24.167009,0,0,01-226
42-293,28,48000,1,21.59343,0,0,02-034
01-7061,22,53000,1,22.989733,0,0,01-6385
53-006,20,49000,1,34.735111,0,0,01-7640
01-5806,35,47000,0,27.890486,0,0,50-007
50-021,5,48000,0,30.498289,0,0,50-025
02-5973,15,46000,0,18.684464,0,0,00-003
01-4055,40,53000,1,18.198494,0,0,01-5176
15-025,1,53000,1,37.295002,0,0,01-4443
03-0347,43,48000,1,21.004791,0,0,01-1717
01-4642,21,56000,1,28.520191,0,0,01-174
42-722,11,48000,0,27.91102,0,0,42-041
01-5540,8,48000,1,22.893908,0,0,01-2795
01-8004,33,47000,1,23.263517,0,0,10-041
01-1118,3,52000,0,36.535248,0,0,14-018
01-2938,10,51000,0,30.36824,0,0,02-700
01-8710,24,44000,0,20.436687,0,0,03-252
02-5995,22,49000,0,20.067078,0,1,02-221
02-3237,20,46000,0,28.11636,0,0,02-4534
01-8553,43,47000,1,24.721424,0,0,01-272
09-123,3,51000,1,35.166325,0,0,09-010
24-061,35,50000,0,41.655029,0,0,01-5538
01-7174,0,46000,0,18,0,0,32-131
42-1405,18,56000,0,35.412731,0,0,01-6703
03-363,30,44000,1,37.151268,0,0,01-2736
02-4035,14,50000,1,24.139631,0,0,02-510
01-2974,20,54000,1,31.894592,0,0,01-3148
01-8899,21,53000,0,19.232033,0,0,01-6989
20-152,32,47000,1,34.70089,0,0,01-112
42-1051,10,49000,0,22.257359,0,0,42-216
03-1652,47,49000,1,20.402464,0,0,01-759
01-1199,14,49000,0,38.828201,0,0,03-114
02-2517,12,46000,0,28.90349,0,0,02-3196
01-479,12,48000,0,42.989735,0,0,01-3147
30-050,9,46000,0,32.921288,0,0,01-707
01-2770,17,53000,0,32.277893,0,0,01-5133
03-0345,34,46000,0,,0,0,11-092
01-9177,39,47000,1,22.49692,0,0,01-7079
01-5233,35,51000,0,29.238878,0,0,18-097
01-9291,35,46000,0,21.47707,0,0,17-024
01-8097,13,46000,0,18.273785,0,0,01-949
01-5930,17,49000,1,24.290213,0,0,18-039
05-040,7,48000,0,44.235455,0,0,11-092
01-5209,18,54000,1,25.501711,0,0,01-4989
01-248,16,54000,0,46.501026,0,0,01-1613
02-5045,14,44000,0,21.360712,0,0,21-053
02-1615,44,45000,1,38.971939,0,0,02-6382
02-4931,25,48000,0,23.824778,0,0,02-1258
50-005,3,48000,0,32.770706,0,0,50-007
01-8477,17,46000,0,18.349075,0,0,01-1613
02-676,43,52000,0,,0,0,02-3172
02-3237,33,47000,0,30.819986,0,0,02-809
03-260,31,49000,0,41.121151,1,0,01-746
33-040,3,46000,0,29.026693,0,0,15-018
08-266,19,50000,1,31.675564,0,0,18-061
02-3375,13,49000,0,26.049282,0,0,14-018
03-021,2,53000,0,32.893909,0,0,01-888
01-9902,28,48000,0,18.862423,0,0,15-054
02-6942,46,52000,1,22.859686,0,0,11-360
02-6309,39,49000,0,22.681725,0,0,02-1140
00-096,33,51000,1,37.972622,0,0,11-075
01-5104,18,52000,0,25.289528,0,0,01-5373
02-2132,3,46000,0,27.979465,0,0,02-552
27-062,9,47000,1,29.368925,0,0,02-4267
20-059,17,47000,1,35.837097,0,0,01-305
02-3927,3,47000,1,22.086243,0,0,02-3119
01-6703,23,57000,1,23.982204,0,0,01-6989
01-4549,5,50000,0,25.474333,0,0,01-744
13-318,39,52000,0,37.253937,0,0,11-075
03-0672,34,49000,0,18.828199,0,0,01-4033
06-128,29,50000,0,42.695412,0,0,14-018
13-169,37,51000,0,41.210129,0,0,13-361
20-094,25,48000,0,34.830936,0,0,01-7795
01-830,0,52000,0,37.637234,0,0,01-123
02-3968,6,46000,0,22.517454,0,0,11-033
01-4413,37,52000,0,32.633812,0,0,01-8903
88-107,1,48000,1,21.100616,0,0,01-6559
03-1489,43,51000,0,19.546886,0,0,01-4895
09-201,17,47000,1,31.66872,0,0,09-010
21-011,6,53000,1,36.740589,0,0,02-4378
01-2358,6,52000,1,31.620808,0,0,01-1763
01-7863,37,53000,0,24.488707,0,0,42-1411
37-037,35,49000,0,37.664612,0,0,01-272
23-058,26,45000,1,35.720737,0,0,06-130
01-6781,27,51000,1,24.440794,0,0,02-793
01-5619,19,46000,0,25.022587,0,0,08-212
02-3813,14,46000,0,,0,0,02-4182
01-9531,47,53000,0,23.304586,0,0,01-7904
01-1199,41,52000,0,44.454483,0,0,03-114
42-1570,30,49000,0,26.124573,0,0,01-253
26-076,21,47000,1,32.791237,0,0,02-237
16-016,40,52000,0,47.637234,0,0,01-6110
02-5943,27,47000,1,21.196442,0,0,13-191
02-8779,45,47000,1,19.197809,0,0,02-8078
00-096,40,51000,1,39.423683,0,0,11-075
01-5079,13,49000,0,25.022587,0,0,14-018
03-144,13,49000,0,40.696785,0,0,01-195
42-1296,37,51000,1,31.196442,0,0,42-1201
02-5881,20,52000,1,19.649555,0,0,02-4556
02-2970,1,49000,1,24.988363,0,0,09-029
34-056,31,47000,0,35.193703,0,1,02-316
02-1171,28,53000,0,39.355236,0,0,02-6382
42-1442,3,51000,0,22.784393,0,0,42-1392
09-170,14,52000,1,33.913757,0,0,09-010
21-053,47,55000,1,41.538673,0,0,02-245
11-239,16,45000,0,35.036278,0,0,02-4535
16-046,24,47000,0,40.505135,0,0,22-018
23-072,15,52000,1,32.928131,0,0,02-2975
42-939,9,49000,1,26.117727,0,0,42-216
60-012,16,47000,0,32.531143,0,0,01-5356
36-015,11,54000,0,36.069817,0,0,01-475
04-322,25,49000,0,34.112251,0,0,04-154
02-9623,46,47000,0,18,0,0,02-3384
01-4150,23,51000,1,24.338123,0,0,05-045
01-3601,38,48000,0,34.735111,0,0,01-087
16-100,47,49000,0,37.965778,0,0,15-005
06-068,35,44000,0,47.383984,0,0,02-5346
02-7669,44,49000,0,20.785763,0,0,02-1181
30-001,1,48000,0,36.473648,0,0,01-087
01-6399,39,50000,0,27.71937,1,0,05-045
02-7673,38,46000,0,19.526352,0,0,04-465
02-3369,1,52000,1,23.646816,0,0,01-032
04-639,38,48000,0,26.117727,0,0,07-043
01-6293,39,48000,0,27.336071,0,0,32-050
01-160,30,59000,1,54.563995,0,0,08-027
06-384,39,50000,1,36.795345,0,0,02-044
20-001,1,46000,0,37.589321,0,0,05-006
01-9415,21,46000,0,18.36961,0,0,01-6216
01-4252,37,51000,1,33.28405,0,0,01-4033
03-0467,31,46000,0,18.034224,0,0,01-7795
01-691,13,53000,0,41.182751,0,0,01-1236
42-1515,12,46000,0,23.414101,0,0,42-1581
24-066,38,49000,0,23.181383,0,0,02-4534
03-265,46,49000,0,44.249146,0,0,03-327
04-589,17,48000,0,23.537304,0,0,16-010
99-018,0,48000,0,25.70705,0,0,01-087
14-105,7,51000,0,30.491444,0,0,14-017
02-7031,39,47000,1,21.052704,0,0,02-295
02-2865,6,49000,1,,0,0,02-676
99-388,27,50000,1,34.659821,0,0,05-011
01-7899,30,46000,0,22.9692,0,0,15-005
01-3086,16,48000,0,31.312799,0,0,18-039
02-5231,16,47000,1,21.29911,0,0,02-157
08-009,1,48000,0,56.973305,0,0,05-011
32-116,41,47000,1,30.505133,0,0,01-112
01-7128,22,46000,0,22.462696,0,0,01-3376
03-1498,35,48000,1,18.075291,0,0,01-387
42-1401,15,57000,1,25.905544,0,0,42-1207
01-7703,11,46000,0,19.252567,0,0,01-7904
01-1577,47,51000,1,44.125942,0,0,01-4663
01-6838,14,47000,1,20.929501,0,0,09-052
01-6657,1,47000,0,19.430527,0,0,08-016
01-9293,38,47000,0,22.140999,0,0,17-073
32-043,36,51000,0,42.168377,0,0,32-012
01-6105,17,53000,1,23.763176,0,0,01-3359
24-043,23,49000,0,39.724846,0,0,03-158
01-363,16,43000,1,48.889801,0,0,01-1854
01-1109,20,50000,0,40.197124,0,0,01-204
01-8767,20,46000,0,19.55373,0,0,01-7795
01-655,45,48000,1,48.109516,0,0,01-777
42-1594,9,54000,0,21.292265,0,0,42-1212
01-9065,32,52000,0,21.285421,0,0,01-6989
01-3523,28,52000,0,32.709103,0,0,01-112
01-7757,25,46000,0,21.655031,0,0,32-130
34-021,4,47000,0,36.617386,0,0,02-676
02-3462,46,57000,1,31.750856,0,0,01-2158
13-133,39,54000,1,42.71595,0,0,02-5124
04-297,0,53000,1,31.278576,0,0,01-873
02-2647,18,49000,0,29.526352,0,0,02-4378
01-2290,10,47000,1,32.784393,0,0,01-112
29-030,30,50000,0,40.840523,0,0,29-029
00-392,38,51000,0,37.555099,0,0,02-3269
20-137,45,53000,1,37.931553,0,0,03-1760
02-1201,15,45000,0,36.507874,0,0,02-3119
02-785,15,50000,0,39.252567,0,0,02-3084
02-4059,4,46000,0,21.737165,0,0,02-1360
30-001,18,48000,0,40.005474,0,0,01-112
01-7837,36,47000,1,24.324436,0,0,01-1494
10-112,36,51000,0,32.791237,0,0,30-031
42-1447,27,50000,1,27.459274,0,0,42-894
02-6567,40,47000,0,22.510609,0,0,02-4416
01-3568,44,46000,0,36.028748,0,0,03-0055
47-002,24,49000,0,35.816563,0,0,58-005
02-3864,11,46000,0,23.941137,0,0,02-3269
01-981,10,51000,0,38.691307,0,0,01-5828
06-140,35,46000,0,43.838467,0,0,06-172
04-225,6,49000,0,36.268311,0,0,01-1177
06-172,40,52000,1,43.065025,0,0,02-185
02-2042,10,50000,1,29.635866,0,1,02-5404
02-8251,41,51000,0,19.129364,0,0,02-380
08-155,31,51000,0,43.003422,0,0,01-758
01-4590,11,50000,1,26.631075,0,0,01-3250
04-533,42,49000,0,29.868584,0,0,04-662
23-042,12,49000,0,34.351814,0,0,10-047
